Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-25 18:54:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:54:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:54:58,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:06,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:30,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:55:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:26,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:56:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:15,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:23,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:31,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:39,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:47,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:57:55,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:03,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:11,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:19,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:27,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:35,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:43,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:51,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:58:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:15,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:23,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:31,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:39,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:47,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:59:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:04,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:12,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:20,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:28,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:00:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:00,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:08,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:01:48,$ Bad Value,$ Bad Value,$ Bad Value
